Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1912,NL,93,58,2,4.94,152,5876,5252,751,1493,222,129,39,654,177,,420,514,0.284,0.34,0.398,0.738,169,125,0.972,27.4
1911,NL,85,69,3,4.8,155,5912,5137,744,1345,206,106,49,633,160,,525,583,0.262,0.336,0.372,0.708,232,131,0.963,28.2
1910,NL,86,67,3,4.25,154,5789,5125,655,1364,214,83,33,543,148,,437,524,0.266,0.328,0.36,0.688,245,102,0.961,28.4
1909,NL,110,42,1,4.54,154,5871,5129,699,1332,218,92,25,585,185,,479,511,0.26,0.327,0.353,0.68,228,100,0.964,28.5
1908,NL,98,56,2,3.77,155,5761,5109,585,1263,162,98,25,496,186,,420,457,0.247,0.309,0.332,0.641,226,74,0.964,29.5
1907,NL,91,63,2,4.04,157,5643,4957,634,1261,133,78,19,485,264,,469,456,0.254,0.325,0.324,0.649,256,75,0.959,28.6
1906,NL,93,60,3,4.05,154,5681,5030,623,1313,164,67,12,497,162,,424,385,0.261,0.324,0.327,0.651,228,109,0.964,28.9
1905,NL,96,57,2,4.46,155,5809,5213,692,1385,190,91,22,564,202,,382,512,0.266,0.32,0.35,0.67,255,112,0.961,28.8
1904,NL,87,66,4,4.33,156,5666,5160,675,1333,164,102,15,523,178,,388,516,0.258,0.316,0.338,0.654,291,93,0.955,27.2
1903,NL,91,49,1,5.62,141,5511,4988,793,1429,208,110,34,650,172,,364,400,0.286,0.341,0.393,0.734,295,100,0.951,26.8
1902,NL,103,36,1,5.46,142,5480,4926,775,1410,189,95,18,660,222,,372,440,0.286,0.344,0.374,0.718,247,87,0.958,27.4
1901,NL,90,49,1,5.54,140,5468,4913,776,1407,182,92,29,636,203,,386,497,0.286,0.345,0.379,0.723,287,97,0.95,27.8
1900,NL,79,60,2,5.24,140,5317,4817,733,1312,185,100,26,602,174,,327,319,0.272,0.327,0.368,0.695,322,106,0.945,27.6
1899,NL,76,73,7,5.43,155,6079,5486,841,1582,196,121,29,706,179,,386,344,0.288,0.342,0.384,0.726,363,100,0.945,28.5
1898,NL,72,76,8,4.17,152,5638,5087,634,1313,140,88,14,520,107,,336,339,0.258,0.313,0.328,0.642,340,105,0.946,28.6
1897,NL,60,71,8,5.01,135,5114,4590,676,1266,140,108,25,575,170,,359,333,0.276,0.337,0.37,0.707,346,70,0.936,27.5
1896,NL,66,63,6,6.01,131,5254,4701,787,1371,169,94,27,667,217,,387,286,0.292,0.353,0.385,0.738,317,103,0.941,28.3
1895,NL,71,61,7,6.04,135,5226,4677,815,1355,192,89,27,677,257,,378,301,0.29,0.351,0.386,0.737,394,95,0.93,26.7
1894,NL,65,65,7,7.26,133,5375,4700,965,1465,223,125,48,812,257,,444,210,0.312,0.379,0.443,0.822,355,106,0.936,27.6
1893,NL,81,48,2,7.4,131,5433,4834,970,1447,176,127,37,816,210,,537,274,0.299,0.377,0.411,0.788,347,112,0.938,26.7
1892,NL,80,73,6,5.17,155,5948,5469,802,1288,143,108,38,600,222,,435,453,0.236,0.297,0.322,0.619,483,113,0.927,26.1
1891,NL,55,80,8,4.96,137,5271,4794,679,1148,148,71,29,524,205,,427,503,0.239,0.308,0.318,0.626,475,76,0.917,26.3
1890,NL,23,113,8,4.33,138,5213,4739,597,1088,160,43,20,426,208,,408,458,0.23,0.3,0.294,0.594,607,94,0.897,25.6
1889,NL,61,71,5,5.42,134,5212,4748,726,1202,209,65,42,597,231,,420,467,0.253,0.32,0.351,0.671,385,94,0.931,27.4
1888,NL,66,68,6,3.84,139,4953,4713,534,1070,150,49,14,390,287,,194,583,0.227,0.264,0.289,0.553,416,88,0.927,25.8
1887,NL,55,69,6,4.97,125,4771,4414,621,1141,183,78,20,479,221,,319,381,0.258,0.314,0.349,0.663,425,70,0.921,26.8
1886,AA,80,57,2,5.79,140,5370,4854,810,1171,186,96,16,563,260,,478,713,0.241,0.314,0.329,0.643,487,90,0.917,25.6
1885,AA,56,55,3,4.93,111,4208,3975,547,955,123,79,5,371,,,189,537,0.24,0.282,0.315,0.597,422,77,0.912,25.4
1884,AA,30,78,11,3.69,110,3873,3689,406,777,105,50,2,1,,,143,411,0.211,0.248,0.268,0.516,523,71,0.889,25.4
1883,AA,31,67,7,5.36,98,3771,3607,525,892,120,58,13,1,,,164,345,0.247,0.28,0.324,0.604,504,55,0.884,26.3
1882,AA,39,39,4,5.39,79,2981,2889,426,725,106,59,18,,,,92,182,0.251,0.274,0.347,0.621,394,40,0.889,26
