Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1972,NL West,85,70,2,3.77,155,5904,5270,584,1349,178,39,98,543,82,39,480,786,0.256,0.319,0.36,0.679,162,145,0.974,28.6
1971,NL West,89,73,2,4.09,162,6156,5523,663,1469,213,38,95,631,76,40,489,755,0.266,0.325,0.37,0.695,131,159,0.979,28.7
1970,NL West,87,74,2,4.65,161,6293,5606,749,1515,233,67,87,695,138,57,541,841,0.27,0.334,0.382,0.717,135,135,0.978,27.9
1969,NL West,85,77,4,3.98,162,6167,5532,645,1405,185,52,97,584,80,51,484,823,0.254,0.315,0.359,0.673,126,130,0.98,27.4
1968,NL,76,86,7,2.9,162,5935,5354,470,1234,202,36,67,434,57,43,439,980,0.23,0.289,0.319,0.608,144,144,0.977,27.9
1967,NL,73,89,8,3.2,162,6110,5456,519,1285,203,38,82,465,56,47,485,881,0.236,0.301,0.332,0.633,160,144,0.975,27.5
1966,NL,95,67,1,3.74,162,6067,5471,606,1399,201,27,108,565,94,64,430,830,0.256,0.314,0.362,0.675,133,128,0.979,28.3
1965,NL,97,65,1,3.75,162,6108,5425,608,1329,193,32,78,548,172,77,492,891,0.245,0.312,0.335,0.647,134,135,0.979,27.9
1964,NL,80,82,6,3.74,164,6121,5499,614,1375,180,39,79,555,141,60,438,893,0.25,0.305,0.34,0.645,170,126,0.973,26.9
1963,NL,99,63,1,3.93,163,6045,5428,640,1361,178,34,110,584,124,70,453,867,0.251,0.309,0.357,0.666,159,129,0.975,27.4
1962,NL,102,63,2,5.1,165,6363,5628,842,1510,192,65,140,781,198,43,572,886,0.268,0.337,0.4,0.737,193,144,0.97,27
1961,NL,89,65,2,4.77,154,5940,5189,735,1358,193,40,157,673,86,45,596,796,0.262,0.338,0.405,0.743,144,162,0.975,27.8
1960,NL,82,72,4,4.3,154,5936,5227,662,1333,216,38,126,606,95,53,529,837,0.255,0.324,0.383,0.707,125,142,0.979,27.8
1959,NL,88,68,1,4.52,156,6034,5282,705,1360,196,46,148,667,84,51,591,891,0.257,0.334,0.396,0.73,114,154,0.981,28.2
1958,NL,71,83,7,4.34,154,5804,5173,668,1297,166,50,172,627,73,47,495,850,0.251,0.317,0.402,0.719,146,198,0.975,29
1957,NL,84,70,3,4.48,154,5945,5242,690,1325,188,38,147,648,60,34,550,848,0.253,0.325,0.387,0.713,127,136,0.979,30.1
1956,NL,93,61,1,4.68,154,5885,5098,720,1315,212,36,179,680,65,37,649,738,0.258,0.342,0.419,0.761,111,149,0.981,31
1955,NL,98,55,1,5.56,154,6037,5193,857,1406,230,44,201,800,79,56,674,718,0.271,0.356,0.448,0.804,133,156,0.978,29.8
1954,NL,92,62,2,5.05,154,6059,5251,778,1418,246,56,186,741,46,39,634,625,0.27,0.349,0.444,0.794,129,138,0.978,29.6
1953,NL,105,49,1,6.16,155,6138,5373,955,1529,274,59,208,887,90,47,655,686,0.285,0.366,0.474,0.84,118,161,0.98,29
1952,NL,96,57,1,5,155,6068,5266,775,1380,199,32,153,725,90,49,663,699,0.262,0.348,0.399,0.748,106,169,0.982,29.2
1951,NL,97,60,2,5.41,158,6214,5492,855,1511,249,37,184,794,89,70,603,649,0.275,0.352,0.434,0.786,129,192,0.979,28.5
1950,NL,89,65,2,5.46,155,6086,5364,847,1461,247,46,194,774,77,45,607,632,0.272,0.349,0.444,0.793,127,183,0.979,27.6
1949,NL,97,57,1,5.63,156,6183,5400,879,1477,236,47,152,816,117,48,638,570,0.274,0.354,0.419,0.773,122,162,0.98,27
1948,NL,84,70,3,4.8,155,6052,5328,744,1393,256,54,91,671,114,47,601,684,0.261,0.338,0.381,0.719,161,151,0.973,26.2
1947,NL,94,60,1,4.99,155,6125,5249,774,1428,241,50,83,719,88,62,732,561,0.272,0.364,0.384,0.749,129,169,0.978,27.9
1946,NL,96,60,2,4.46,157,6137,5285,701,1376,233,66,55,642,100,59,691,575,0.26,0.348,0.361,0.708,174,154,0.972,28.2
1945,NL,87,67,3,5.13,155,6188,5418,795,1468,257,71,57,722,77,40,629,434,0.271,0.349,0.376,0.726,230,144,0.962,29.2
1944,NL,63,91,7,4.45,155,6013,5393,690,1450,255,51,56,631,45,32,486,451,0.269,0.331,0.366,0.697,197,112,0.966,28.3
1943,NL,81,72,3,4.68,153,6010,5309,716,1444,263,35,39,658,58,46,580,422,0.272,0.346,0.357,0.703,168,137,0.972,30.7
1942,NL,104,50,2,4.79,155,5993,5285,742,1398,263,34,62,678,81,43,572,484,0.265,0.338,0.362,0.7,138,150,0.977,29.3
1941,NL,100,54,1,5.1,157,6218,5485,800,1494,286,69,101,747,36,48,600,535,0.272,0.347,0.405,0.752,162,125,0.974,28.3
