Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
1941,NL,88,66,3,4,154,5819,5218,616,1288,213,33,64,567,68,40,477,428,0.247,0.313,0.337,0.65,152,147,0.975,28.8
1940,NL,100,53,1,4.56,155,5986,5372,707,1427,264,38,89,649,72,,453,503,0.266,0.327,0.379,0.706,117,158,0.981,28.9
1939,NL,97,57,1,4.92,156,6106,5378,767,1493,269,60,98,714,46,,500,538,0.278,0.343,0.405,0.748,162,170,0.974,28.8
1938,NL,82,68,4,4.79,151,5878,5391,723,1495,251,57,110,679,19,,366,518,0.277,0.327,0.406,0.733,172,133,0.971,28.1
1937,NL,56,98,8,3.95,155,5763,5230,612,1329,215,59,73,567,53,,437,586,0.254,0.315,0.36,0.674,208,139,0.966,28.6
1936,NL,74,80,5,4.69,154,5904,5393,722,1476,224,73,82,674,68,,410,584,0.274,0.329,0.388,0.717,191,150,0.969,27.9
1935,NL,68,85,6,4.19,154,5799,5296,646,1403,244,68,73,605,72,,392,547,0.265,0.319,0.378,0.697,204,139,0.966,27.4
1934,NL,52,99,8,3.88,152,5785,5361,590,1428,227,65,55,560,34,,313,532,0.266,0.311,0.364,0.675,181,136,0.97,29.7
1933,NL,58,94,8,3.24,153,5654,5156,496,1267,208,37,34,455,30,,349,354,0.246,0.298,0.32,0.618,177,139,0.971,30.8
1932,NL,60,94,8,3.71,155,6000,5443,575,1429,265,68,47,546,35,,436,436,0.263,0.32,0.362,0.682,178,129,0.971,29.6
1931,NL,58,96,8,3.84,154,5860,5343,592,1439,241,70,21,562,24,,403,463,0.269,0.323,0.352,0.676,165,194,0.973,29.3
1930,NL,59,95,7,4.32,154,5881,5245,665,1475,265,67,74,625,48,,445,489,0.281,0.339,0.4,0.739,161,164,0.973,29.6
1929,NL,66,88,7,4.43,155,5883,5269,686,1478,258,79,34,618,134,,412,347,0.281,0.336,0.379,0.715,162,148,0.974,29.7
1928,NL,78,74,5,4.24,153,5815,5184,648,1449,229,67,32,588,83,,386,330,0.28,0.333,0.368,0.701,162,194,0.974,29.9
1927,NL,75,78,5,4.2,153,5827,5185,643,1439,222,77,29,575,62,,402,332,0.278,0.332,0.367,0.699,165,160,0.973,29.8
1926,NL,87,67,2,4.76,157,6047,5320,747,1541,242,120,35,692,51,,454,333,0.29,0.349,0.4,0.749,183,160,0.972,29.9
1925,NL,80,73,3,4.51,153,5838,5233,690,1490,221,90,44,624,108,107,409,327,0.285,0.339,0.387,0.726,203,161,0.968,29.6
1924,NL,83,70,4,4.24,153,5836,5301,649,1539,236,111,36,586,103,98,349,334,0.29,0.337,0.397,0.734,217,142,0.966,29.8
1923,NL,91,63,2,4.6,154,5935,5278,708,1506,237,95,45,645,96,105,439,367,0.285,0.344,0.392,0.736,202,144,0.969,29.8
1922,NL,86,68,2,4.91,156,5943,5282,766,1561,226,99,45,686,130,136,436,381,0.296,0.353,0.401,0.755,205,147,0.968,29.1
1921,NL,70,83,6,4.04,153,5726,5112,618,1421,221,94,20,560,117,120,375,308,0.278,0.333,0.37,0.703,193,139,0.969,28.5
1920,NL,82,71,3,4.15,154,5799,5176,639,1432,169,76,18,546,158,128,382,367,0.277,0.332,0.349,0.681,200,125,0.968,29.1
1919,NL,96,44,1,4.12,140,5215,4577,577,1204,135,83,20,489,143,,405,368,0.263,0.327,0.342,0.669,151,98,0.974,28.9
1918,NL,68,60,3,4.11,129,4764,4265,530,1185,165,84,15,447,128,,304,303,0.278,0.33,0.366,0.697,192,131,0.964,28.4
1917,NL,78,76,4,3.83,157,5728,5251,601,1385,196,100,26,513,153,,312,477,0.264,0.309,0.354,0.663,247,120,0.962,27.7
1916,NL,60,93,7,3.26,155,5781,5254,505,1336,187,88,14,422,157,,362,573,0.254,0.307,0.331,0.639,228,126,0.965,27.3
1915,NL,71,83,7,3.23,160,5830,5231,516,1323,194,84,15,425,156,142,360,512,0.253,0.308,0.331,0.638,222,148,0.966,27.1
1914,NL,60,94,8,3.38,157,5637,4991,530,1178,142,64,16,432,224,,441,627,0.236,0.305,0.3,0.605,314,113,0.952,26.7
1913,NL,64,89,7,3.89,156,5782,5132,607,1339,170,96,27,541,226,144,458,579,0.261,0.325,0.347,0.672,251,104,0.961,27.2
1912,NL,75,78,4,4.23,155,5796,5115,656,1310,183,89,21,565,248,,479,492,0.256,0.323,0.339,0.662,249,102,0.96,26.4
1911,NL,70,83,6,4.29,159,6088,5291,682,1379,180,105,21,595,289,,578,594,0.261,0.337,0.346,0.684,295,108,0.955,26.6
1910,NL,75,79,5,3.97,156,5860,5121,620,1326,150,79,23,526,310,,529,515,0.259,0.332,0.333,0.664,291,103,0.955,26.2
1909,NL,77,76,4,3.86,157,5820,5088,606,1273,159,72,22,507,280,,478,583,0.25,0.319,0.323,0.642,309,120,0.952,25.9
1908,NL,73,81,5,3.15,155,5535,4879,488,1108,129,77,14,398,196,,372,555,0.227,0.288,0.294,0.582,255,72,0.959,27.8
1907,NL,66,87,6,3.37,156,5599,4966,526,1226,126,90,15,443,158,,372,535,0.247,0.304,0.318,0.621,227,118,0.963,27.7
1906,NL,64,87,6,3.44,155,5651,5025,533,1198,140,71,16,454,170,,395,532,0.238,0.301,0.304,0.605,262,97,0.959,29
